100,50,110,60
120,80,130,90
150,120,160,130
180,140,190,150
210,180,220,190
240,220,250,230
270,260,280,270
300,300,310,310
330,340,340,350
360,380,370,390
390,420,400,430
420,460,430,470
450,500,460,510
480,540,490,550
510,580,520,590
540,620,550,630
570,660,580,670
600,700,610,710
630,740,640,750
660,780,670,790
690,820,700,830
720,860,730,870
750,900,760,910
780,940,790,950
810,980,820,990
840,1020,850,1030
870,1060,880,1070
900,1100,910,1110
930,1140,940,1150
960,1180,970,1190
990,1220,1000,1230
1020,1260,1030,1270
1050,1300,1060,1310
1080,1340,1090,1350
1110,1380,1120,1390
1140,1420,1150,1430
1170,1460,1180,1470
1200,1500,1210,1510
1230,1540,1240,1550
1260,1580,1270,1590
1290,1620,1300,1630
1320,1660,1330,1670
1350,1700,1360,1710
1380,1740,1390,1750
1410,1780,1420,1790
1440,1820,1450,1830
1470,1860,1480,1870
1500,1900,1510,1910
1530,1940,1540,1950
1560,1980,1570,1990
1590,2020,1600,2030
1620,2060,1630,2070
1650,2100,1660,2110
1680,2140,1690,2150
1710,2180,1720,2190
1740,2220,1750,2230
1770,2260,1780,2270
1800,2300,1810,2310
1830,2340,1840,2350
1860,2380,1870,2390
1890,2420,1900,2430
1920,2460,1930,2470
1950,2500,1960,2510
1980,2540,1990,2550
2010,2580,2020,2590
2040,2620,2050,2630
2070,2660,2080,2670
2100,2700,2110,2710
2130,2740,2140,2750
2160,2780,2170,2790
2190,2820,2200,2830
2220,2860,2230,2870
2250,2900,2260,2910
2280,2940,2290,2950
2310,2980,2320,2990
2340,3020,2350,3030
2370,3060,2380,3070
2400,3100,2410,3110
2430,3140,2440,3150
2460,3180,2470,3190
2490,3220,2500,3230
2520,3260,2530,3270
2550,3300,2560,3310
2580,3340,2590,3350
2610,3380,2620,3390
2640,3420,2650,3430
2670,3460,2680,3470
2700,3500,2710,3510
2730,3540,2740,3550
2760,3580,2770,3590
2790,3620,2800,3630
2820,3660,2830,3670
2850,3700,2860,3710
2880,3740,2890,3750
2910,3780,2920,3790
2940,3820,2950,3830
2970,3860,2980,3870
3000,3900,3010,3910
3030,3940,3040,3950
3060,3980,3070,3990
3090,4020,3100,4030
3120,4060,3130,4070
3150,4100,3160,4110
3180,4140,3190,4150
3210,4180,3220,4190
3240,4220,3250,4230
3270,4260,3280,4270
3300,4300,3310,4310
3330,4340,3340,4350
3360,4380,3370,4390
3390,4420,3400,4430
3420,4460,3430,4470
3450,4500,3460,4510
3480,4540,3490,4550
